"owner_id","treat7","treat8","rand_id","holdout","azavea_section","ever_paid_jul","ever_paid_sep","ever_paid_dec","ever_paid_jul16","paid_full_jul","paid_full_sep","paid_full_dec","paid_full_jul16","total_paid_sep","total_paid_dec","earliest_pmt_dec","earliest_pmt_jul16","total_due","assessed_mv","tenure","x_lon","y_lat","kde","flag_holdout_overlap","N","unq_own"
6333,"Sheriff","Sheriff",28,0,"Northwest Philadelphia",1,1,1,1,0,0,1,0,3881.85,9479.86,2015-06-24,2016-06-07T00:00:00Z,8933.73,891100,20,-75.2243392012,40.0378030017,3.35501252414835e-06,0,3,0
7804,"Sheriff","Sheriff",1067,0,"West Philadelphia",1,1,1,0,1,1,1,0,365.21,365.21,2015-06-10,,365.21,1e+05,7,-75.2333650725,39.9733608423,3.25844882952371e-05,0,1,1
19594,"Sheriff","Sheriff",845,0,"North Philadelphia",0,0,1,1,0,0,0,1,0,238.89,2015-11-13,2016-06-29T00:00:00Z,677.75,48400,5,-75.1287787285,39.9954434112,3.25328855387139e-05,0,1,1
20414,"Sheriff","Sheriff",39,0,"Center City",0,0,1,1,0,0,1,1,0,7821.99,2015-12-18,2016-03-09T00:00:00Z,7201.74,544300,10,-75.1688497947,39.9470404515,1.75383993982366e-05,0,1,1
794,"Sheriff","Sheriff",557,0,"South Philadelphia",1,1,1,1,1,1,1,1,1149.65,1149.65,2015-06-29,2016-01-13T00:00:00Z,1149.65,82100,1,-75.1580487759,39.9179192762,2.08862178913434e-05,0,1,1
9817,"Sheriff","Sheriff",604,0,"West Philadelphia",0,0,0,1,0,0,0,0,0,0,,2016-07-05T00:00:00Z,1065.63,76100,40,-75.2415611291,39.9717199079,2.93230555300961e-05,0,1,1
10646,"Sheriff","Sheriff",756,0,"North Philadelphia",1,1,1,1,1,1,1,1,796.77,796.77,2015-07-03,2016-02-10T00:00:00Z,796.77,56900,3,-75.1259595974,40.0029794981,2.90261355367761e-05,0,1,1
3271,"Sheriff","Sheriff",216,0,"North Philadelphia",1,1,1,1,0,0,0,0,1005,1655.58,2015-07-07,2016-02-11T00:00:00Z,2387.52,170500,11,-75.1263313738,40.0214470015,3.09225147796097e-05,0,4,0
20603,"Sheriff","Sheriff",1039,0,"West Philadelphia",0,1,1,1,0,1,1,1,416.05,416.05,2015-08-11,2016-02-22T00:00:00Z,404.78,57900,7,-75.2000675773,39.973364653,1.16336444924579e-05,0,1,1
8270,"Sheriff","Sheriff",742,0,"West Philadelphia",1,1,1,1,1,1,1,0,830.93,830.93,2015-07-13,2016-06-24T00:00:00Z,819.18,58500,24,-75.2289574829,39.953665513,2.99613698627543e-05,0,1,1
4218,"Sheriff","Sheriff",814,0,"West Philadelphia",0,0,0,0,0,0,0,0,0,0,,,716.2,51900,3,-75.2248995875,39.941672182,3.05684815014627e-05,0,1,1
18284,"Sheriff","Sheriff",330,0,"Northeast Philadelphia",0,0,1,0,0,0,0,0,0,1910.1,2015-11-05,,1806.39,129000,22,-75.0916140018,40.0573394665,2.09038366860893e-06,0,1,1
7136,"Sheriff","Sheriff",299,0,"Northeast Philadelphia",1,1,1,1,1,1,1,1,1949.22,1949.22,2015-06-12,2016-02-28T00:00:00Z,1949.22,169200,46,-75.071143415,40.0645474088,1.54941590953867e-06,0,1,1
19344,"Sheriff","Sheriff",596,0,"Northeast Philadelphia",1,1,1,1,0,1,1,0,1608.45,1608.45,2015-06-03,2016-05-02T00:00:00Z,1078.14,112700,13,-75.0317304037,40.032165115,8.23165472300804e-06,0,1,1
15911,"Sheriff","Sheriff",554,0,"Northwest Philadelphia",0,1,1,1,0,1,1,1,1186.97,1186.97,2015-09-21,2016-02-23T00:00:00Z,1153.85,82400,4,-75.1613623184,40.0395008877,1.29289521030478e-05,0,1,1
